order_id,created_at,customer_id,restaurant_id,ab_group,status,total_amount_usd,customer_city,customer_segment,restaurant_name,restaurant_category,restaurant_city,delivery_id,dasher_id,dasher_assigned_at,pickup_at,delivered_at,delivery_duration_minutes,stage_1_order_placed_at,stage_2_restaurant_confirmed_at,stage_3_dasher_assigned_at,stage_4_dasher_arrived_restaurant_at,stage_5_order_picked_up_at,stage_6_dasher_near_customer_at,stage_7_delivered_at,has_duplicate_flag,has_timestamp_issue_flag,has_missing_dasher_flag,has_outlier_flag
ORD_000019,2025-01-01T03:30:22,CUST_01097,REST_0050,B,delivered,63.71,Brasília,new,Doce Vida 7,Burger,Belo Horizonte,DEL_000018,DASH_0180,2025-01-01T03:40:41,2025-01-01T03:55:47,2025-01-01T04:19:32,50.8,2025-01-01T03:30:22,2025-01-01T03:34:37,2025-01-01T03:40:41,2025-01-01T03:49:45,2025-01-01T03:55:47,2025-01-01T04:13:45,2025-01-01T04:19:32,False,False,False,False
ORD_000020,2025-01-01T03:31:23,CUST_00638,REST_0067,B,delivered,57.19,Rio de Janeiro,vip,Sabor & Arte 28,Mexican,Brasília,DEL_000019,DASH_0269,2025-01-01T03:40:00,2025-01-01T03:52:25,2025-01-01T04:11:47,41.6,2025-01-01T03:31:23,2025-01-01T03:35:03,2025-01-01T03:40:00,2025-01-01T03:47:17,2025-01-01T03:52:25,2025-01-01T04:07:08,2025-01-01T04:11:47,False,False,False,False
ORD_000021,2025-01-01T03:31:39,CUST_00908,REST_0119,B,delivered,11.05,Rio de Janeiro,new,Doce Vida 22,Japanese,Curitiba,DEL_000020,DASH_0330,2025-01-01T03:40:27,2025-01-01T03:52:43,2025-01-01T04:12:52,42.3,2025-01-01T03:31:39,2025-01-01T03:34:37,2025-01-01T03:40:27,2025-01-01T03:47:56,2025-01-01T03:52:43,2025-01-01T04:08:01,2025-01-01T04:12:52,False,False,False,False
ORD_000022,2025-01-01T03:38:18,CUST_01451,REST_0023,A,delivered,16.86,Rio de Janeiro,returning,Sabor & Arte 48,Chinese,Belo Horizonte,DEL_000021,DASH_0472,2025-01-01T03:45:42,2025-01-01T03:56:20,2025-01-01T04:12:47,35.7,2025-01-01T03:38:18,2025-01-01T03:41:25,2025-01-01T03:45:42,2025-01-01T03:52:06,2025-01-01T03:56:20,2025-01-01T04:08:51,2025-01-01T04:12:47,False,False,False,False
ORD_000023,2025-01-01T03:56:54,CUST_00157,REST_0027,B,delivered,20.67,São Paulo,new,Burger Lab 23,Japanese,Brasília,DEL_000022,DASH_0409,2025-01-01T04:04:51,2025-01-01T04:17:15,2025-01-01T04:36:46,40.8,2025-01-01T03:56:54,2025-01-01T04:00:15,2025-01-01T04:04:51,2025-01-01T04:12:29,2025-01-01T04:17:15,2025-01-01T04:31:59,2025-01-01T04:36:46,False,False,False,False
ORD_000024,2025-01-01T03:58:37,CUST_01019,REST_0046,B,delivered,78.98,São Paulo,returning,Verde & Co 40,Japanese,Belo Horizonte,DEL_000023,DASH_0405,2025-01-01T04:04:42,2025-01-01T04:14:35,2025-01-01T04:29:30,31.9,2025-01-01T03:58:37,2025-01-01T04:01:18,2025-01-01T04:04:42,2025-01-01T04:10:32,2025-01-01T04:14:35,2025-01-01T04:25:27,2025-01-01T04:29:30,False,False,False,False
ORD_000025,2025-01-01T04:02:23,CUST_00044,REST_0073,B,delivered,28.71,Belo Horizonte,returning,Nikkei House 42,Mexican,Rio de Janeiro,DEL_000024,DASH_0083,2025-01-01T04:11:08,2025-01-01T04:25:04,2025-01-01T04:46:54,45.5,2025-01-01T04:02:23,2025-01-01T04:05:34,2025-01-01T04:11:08,2025-01-01T04:19:54,2025-01-01T04:25:04,2025-01-01T04:40:47,2025-01-01T04:46:54,False,False,False,False
ORD_000026,2025-01-01T04:04:19,CUST_00088,REST_0123,A,delivered,8.16,Rio de Janeiro,returning,Doce Vida 5,Healthy,Rio de Janeiro,DEL_000025,DASH_0058,2025-01-01T04:12:34,2025-01-01T04:25:30,2025-01-01T04:46:20,43.1,2025-01-01T04:04:19,2025-01-01T04:08:08,2025-01-01T04:12:34,2025-01-01T04:20:55,2025-01-01T04:25:30,2025-01-01T04:40:48,2025-01-01T04:46:20,False,False,False,False
ORD_000027,2025-01-01T04:04:19,CUST_00186,REST_0032,A,delivered,12.43,Belo Horizonte,vip,Burger Lab 48,Brazilian,Porto Alegre,DEL_000026,DASH_0348,2025-01-01T04:10:15,2025-01-01T04:19:10,2025-01-01T04:33:20,30.2,2025-01-01T04:04:19,2025-01-01T04:06:30,2025-01-01T04:10:15,2025-01-01T04:15:36,2025-01-01T04:19:10,2025-01-01T04:30:11,2025-01-01T04:33:20,False,False,False,False
ORD_000028,2025-01-01T04:21:44,CUST_00324,REST_0118,A,cancelled,33.72,Brasília,returning,Cantina do Chef 36,Burger,Rio de Janeiro,DEL_000027,DASH_0173,,,,,2025-01-01T04:21:44,2025-01-01T04:23:57,,,,,,False,False,False,False
ORD_000029,2025-01-01T04:48:22,CUST_00699,REST_0137,A,delivered,27.36,São Paulo,vip,Urban Kitchen 47,Italian,Porto Alegre,DEL_000028,DASH_0317,2025-01-01T04:59:16,2025-01-01T05:16:03,2025-01-01T05:41:21,55.1,2025-01-01T04:48:22,2025-01-01T04:53:05,2025-01-01T04:59:16,2025-01-01T05:09:39,2025-01-01T05:16:03,2025-01-01T05:35:04,2025-01-01T05:41:21,False,False,False,False
ORD_000030,2025-01-01T04:50:39,CUST_01871,REST_0066,B,delivered,24.13,São Paulo,returning,Mar e Terra 28,Italian,São Paulo,DEL_000029,DASH_0312,2025-01-01T04:59:54,2025-01-01T05:14:50,2025-01-01T05:37:38,48.0,2025-01-01T04:50:39,2025-01-01T04:54:58,2025-01-01T04:59:54,2025-01-01T05:09:18,2025-01-01T05:14:50,2025-01-01T05:31:26,2025-01-01T05:37:38,False,False,False,False
ORD_000031,2025-01-01T05:15:52,CUST_01813,REST_0145,B,delivered,76.46,Porto Alegre,returning,Mar e Terra 24,Italian,Rio de Janeiro,DEL_000030,DASH_0297,2025-01-01T05:24:23,2025-01-01T05:38:11,2025-01-01T05:59:36,44.7,2025-01-01T05:15:52,2025-01-01T05:19:11,2025-01-01T05:24:23,2025-01-01T05:32:38,2025-01-01T05:38:11,2025-01-01T05:53:45,2025-01-01T05:59:36,False,False,False,False
ORD_000032,2025-01-01T05:26:31,CUST_00207,REST_0135,B,delivered,54.66,Porto Alegre,returning,Doce Vida 29,Mexican,Belo Horizonte,DEL_000031,DASH_0092,2025-01-01T05:37:01,2025-01-01T05:53:43,2025-01-01T06:19:08,53.8,2025-01-01T05:26:31,2025-01-01T05:30:27,2025-01-01T05:37:01,2025-01-01T05:47:21,2025-01-01T05:53:43,2025-01-01T06:12:11,2025-01-01T06:19:08,False,False,False,False
ORD_000033,2025-01-01T05:28:39,CUST_01983,REST_0120,A,delivered,19.93,São Paulo,new,Tokyo Garden 31,Italian,Curitiba,DEL_000032,DASH_0057,2025-01-01T05:36:32,2025-01-01T05:48:44,2025-01-01T06:08:08,40.6,2025-01-01T05:28:39,2025-01-01T05:31:33,2025-01-01T05:36:32,2025-01-01T05:44:00,2025-01-01T05:48:44,2025-01-01T06:02:50,2025-01-01T06:08:08,False,False,False,False
ORD_000034,2025-01-01T05:35:06,CUST_01271,REST_0058,A,delivered,26.96,Belo Horizonte,returning,Cantina do Chef 28,Dessert,Rio de Janeiro,DEL_000033,DASH_0077,2025-01-01T05:41:51,2025-01-01T05:51:19,2025-01-01T06:07:10,32.8,2025-01-01T05:35:06,2025-01-01T05:37:38,2025-01-01T05:41:51,2025-01-01T05:47:49,2025-01-01T05:51:19,2025-01-01T06:03:12,2025-01-01T06:07:10,False,False,False,False
ORD_000035,2025-01-01T05:50:35,CUST_01108,REST_0046,A,delivered,29.67,Brasília,vip,Verde & Co 40,Japanese,Belo Horizonte,DEL_000034,DASH_0492,2025-01-01T05:57:14,2025-01-01T06:07:11,2025-01-01T06:23:09,33.8,2025-01-01T05:50:35,2025-01-01T05:53:16,2025-01-01T05:57:14,2025-01-01T06:03:07,2025-01-01T06:07:11,2025-01-01T06:19:02,2025-01-01T06:23:09,False,False,False,False
ORD_000036,2025-01-01T05:55:21,CUST_01585,REST_0130,A,delivered,39.17,Curitiba,new,Urban Kitchen 29,Healthy,São Paulo,DEL_000035,DASH_0184,2025-01-01T06:01:43,2025-01-01T06:10:31,2025-01-01T06:24:48,30.6,2025-01-01T05:55:21,2025-01-01T05:57:41,2025-01-01T06:01:43,2025-01-01T06:06:47,2025-01-01T06:10:31,2025-01-01T06:21:33,2025-01-01T06:24:48,True,False,False,False
ORD_000037,2025-01-01T06:02:41,CUST_00969,REST_0067,A,delivered,43.36,Brasília,returning,Sabor & Arte 28,Mexican,Brasília,DEL_000036,,,2025-01-01T06:23:18,2025-01-01T06:43:16,41.6,2025-01-01T06:02:41,2025-01-01T06:05:46,,2025-01-01T06:18:38,2025-01-01T06:23:18,2025-01-01T06:38:21,2025-01-01T06:43:16,False,False,True,False
ORD_000038,2025-01-01T06:14:09,CUST_00531,REST_0005,A,delivered,49.55,Curitiba,returning,Bella Napoli 5,Italian,Curitiba,DEL_000037,DASH_0142,2025-01-01T06:24:23,2025-01-01T06:39:19,2025-01-01T07:01:42,49.5,2025-01-01T06:14:09,2025-01-01T06:17:44,2025-01-01T06:24:23,2025-01-01T06:32:56,2025-01-01T06:39:19,2025-01-01T06:56:40,2025-01-01T07:01:42,False,False,False,False
ORD_000039,2025-01-01T06:21:31,CUST_01060,REST_0108,A,delivered,26.97,Rio de Janeiro,new,Casa Portuguesa 14,Burger,Brasília,DEL_000038,DASH_0264,2025-01-01T06:29:59,2025-01-01T06:41:25,2025-01-01T07:00:35,40.6,2025-01-01T06:21:31,2025-01-01T06:24:51,2025-01-01T06:29:59,2025-01-01T06:37:20,2025-01-01T06:41:25,2025-01-01T06:56:24,2025-01-01T07:00:35,False,False,False,False
ORD_000040,2025-01-01T06:23:05,CUST_01451,REST_0053,B,delivered,16.24,Rio de Janeiro,returning,Casa Portuguesa 39,Japanese,Brasília,DEL_000039,DASH_0465,2025-01-01T06:28:35,2025-01-01T06:37:10,2025-01-01T06:50:26,28.1,2025-01-01T06:23:05,2025-01-01T06:25:11,2025-01-01T06:28:35,2025-01-01T06:33:59,2025-01-01T06:37:10,2025-01-01T06:47:05,2025-01-01T06:50:26,False,False,False,False
ORD_000041,2025-01-01T06:33:44,CUST_01366,REST_0141,A,delivered,47.15,São Paulo,returning,Tokyo Garden 24,Seafood,Porto Alegre,DEL_000040,DASH_0008,2025-01-01T06:40:04,2025-01-01T06:45:45,2025-01-01T07:04:10,31.1,2025-01-01T06:33:44,2025-01-01T06:36:03,2025-01-01T06:40:04,2025-01-01T06:49:32,2025-01-01T06:45:45,2025-01-01T07:00:02,2025-01-01T07:04:10,False,True,False,False
ORD_000042,2025-01-01T06:53:21,CUST_00340,REST_0129,B,delivered,56.28,Brasília,returning,Spice Route 6,Pizza,Brasília,DEL_000041,DASH_0427,2025-01-01T07:00:02,2025-01-01T07:10:05,2025-01-01T07:25:03,33.0,2025-01-01T06:53:21,2025-01-01T06:56:11,2025-01-01T07:00:02,2025-01-01T07:06:05,2025-01-01T07:10:05,2025-01-01T07:21:28,2025-01-01T07:25:03,False,False,False,False
ORD_000043,2025-01-01T07:01:31,CUST_01877,REST_0016,B,delivered,42.59,Rio de Janeiro,returning,Verde & Co 12,Chinese,Brasília,DEL_000042,DASH_0440,2025-01-01T07:08:12,2025-01-01T07:17:35,2025-01-01T07:33:05,32.3,2025-01-01T07:01:31,2025-01-01T07:04:06,2025-01-01T07:08:12,2025-01-01T07:13:57,2025-01-01T07:17:35,2025-01-01T07:28:39,2025-01-01T07:33:05,False,False,False,False
ORD_000044,2025-01-01T07:22:39,CUST_00570,REST_0136,A,delivered,35.84,Curitiba,returning,Tokyo Garden 2,Burger,Brasília,DEL_000043,DASH_0400,2025-01-01T07:30:41,2025-01-01T07:43:44,2025-01-01T08:03:15,41.6,2025-01-01T07:22:39,2025-01-01T07:25:54,2025-01-01T07:30:41,2025-01-01T07:38:13,2025-01-01T07:43:44,2025-01-01T07:57:53,2025-01-01T08:03:15,False,False,False,False
ORD_000045,2025-01-01T07:30:59,CUST_01640,REST_0143,B,delivered,40.03,Rio de Janeiro,new,Verde & Co 46,Burger,Rio de Janeiro,DEL_000044,DASH_0036,2025-01-01T07:38:44,2025-01-01T07:50:09,2025-01-01T08:07:42,37.8,2025-01-01T07:30:59,2025-01-01T07:34:19,2025-01-01T07:38:44,2025-01-01T07:45:33,2025-01-01T07:50:09,2025-01-01T08:03:19,2025-01-01T08:07:42,False,False,False,False
ORD_000046,2025-01-01T07:34:58,CUST_00624,REST_0114,B,delivered,71.64,Belo Horizonte,new,Forno di Pietra 29,Burger,Rio de Janeiro,DEL_000045,DASH_0254,2025-01-01T07:42:24,2025-01-01T07:53:46,2025-01-01T08:12:28,38.3,2025-01-01T07:34:58,2025-01-01T07:38:12,2025-01-01T07:42:24,2025-01-01T07:49:52,2025-01-01T07:53:46,2025-01-01T08:07:42,2025-01-01T08:12:28,False,False,False,False
ORD_000047,2025-01-01T07:58:52,CUST_00127,REST_0042,A,delivered,69.85,São Paulo,returning,Urban Kitchen 41,Japanese,Brasília,DEL_000046,DASH_0457,2025-01-01T08:04:55,2025-01-01T08:13:57,2025-01-01T08:28:00,30.3,2025-01-01T07:58:52,2025-01-01T08:01:23,2025-01-01T08:04:55,2025-01-01T08:10:29,2025-01-01T08:13:57,2025-01-01T08:24:30,2025-01-01T08:28:00,False,False,False,False
ORD_000048,2025-01-01T08:11:47,CUST_01993,REST_0101,A,delivered,72.29,Rio de Janeiro,returning,Burger Lab 45,Seafood,Porto Alegre,DEL_000047,DASH_0419,2025-01-01T08:18:12,2025-01-01T08:27:31,2025-01-01T08:42:38,31.9,2025-01-01T08:11:47,2025-01-01T08:14:08,2025-01-01T08:18:12,2025-01-01T08:23:57,2025-01-01T08:27:31,2025-01-01T08:38:57,2025-01-01T08:42:38,False,False,False,False
ORD_000049,2025-01-01T08:57:59,CUST_01178,REST_0131,B,delivered,65.47,Rio de Janeiro,vip,Casa Portuguesa 9,Pizza,São Paulo,DEL_000048,DASH_0128,2025-01-01T09:04:25,2025-01-01T09:14:12,2025-01-01T09:30:18,33.0,2025-01-01T08:57:59,2025-01-01T09:00:26,2025-01-01T09:04:25,2025-01-01T09:10:50,2025-01-01T09:14:12,2025-01-01T09:25:46,2025-01-01T09:30:18,False,False,False,False
ORD_000050,2025-01-01T08:59:46,CUST_00430,REST_0123,A,delivered,19.67,Porto Alegre,returning,Doce Vida 5,Healthy,Rio de Janeiro,DEL_000049,DASH_0229,2025-01-01T09:07:48,2025-01-01T09:19:48,2025-01-01T09:39:16,40.9,2025-01-01T08:59:46,2025-01-01T09:03:19,2025-01-01T09:07:48,2025-01-01T09:15:03,2025-01-01T09:19:48,2025-01-01T09:34:37,2025-01-01T09:39:16,False,False,False,False
ORD_000051,2025-01-01T09:09:11,CUST_00001,REST_0065,A,delivered,73.06,São Paulo,new,Mar e Terra 32,Burger,Brasília,DEL_000050,DASH_0142,2025-01-01T09:15:45,2025-01-01T09:24:54,2025-01-01T09:39:43,31.5,2025-01-01T09:09:11,2025-01-01T09:11:49,2025-01-01T09:15:45,2025-01-01T09:20:56,2025-01-01T09:24:54,2025-01-01T09:35:46,2025-01-01T09:39:43,False,False,False,False
ORD_000052,2025-01-01T09:16:39,CUST_00259,REST_0107,A,cancelled,37.99,Rio de Janeiro,returning,Casa Portuguesa 23,Mexican,Porto Alegre,DEL_000051,DASH_0003,,,,,2025-01-01T09:16:39,2025-01-01T09:17:37,,,,,,False,False,False,False
ORD_000053,2025-01-01T10:15:01,CUST_00340,REST_0058,B,delivered,10.16,Brasília,returning,Cantina do Chef 28,Dessert,Rio de Janeiro,DEL_000052,DASH_0454,2025-01-01T10:23:51,2025-01-01T10:37:19,2025-01-01T10:58:22,44.7,2025-01-01T10:15:01,2025-01-01T10:18:24,2025-01-01T10:23:51,2025-01-01T10:31:50,2025-01-01T10:37:19,2025-01-01T10:52:57,2025-01-01T10:58:22,False,False,False,False
ORD_000054,2025-01-01T10:20:49,CUST_01852,REST_0039,B,delivered,84.79,Rio de Janeiro,returning,Tokyo Garden 12,Japanese,Porto Alegre,DEL_000053,DASH_0259,2025-01-01T10:29:47,2025-01-01T10:42:36,2025-01-01T11:03:05,138.0,2025-01-01T10:20:49,2025-01-01T10:24:38,2025-01-01T10:29:47,2025-01-01T10:37:02,2025-01-01T10:42:36,2025-01-01T10:57:58,2025-01-01T11:03:05,False,False,False,True
ORD_000055,2025-01-01T10:22:06,CUST_00355,REST_0101,B,delivered,84.15,Brasília,vip,Burger Lab 45,Seafood,Porto Alegre,DEL_000054,DASH_0329,2025-01-01T10:27:01,2025-01-01T10:34:25,2025-01-01T10:45:58,24.5,2025-01-01T10:22:06,2025-01-01T10:24:03,2025-01-01T10:27:01,2025-01-01T10:31:14,2025-01-01T10:34:25,2025-01-01T10:42:42,2025-01-01T10:45:58,False,False,False,False
ORD_000056,2025-01-01T10:44:20,CUST_00324,REST_0070,B,delivered,45.89,Brasília,returning,Burger Lab 22,Healthy,Curitiba,DEL_000055,DASH_0166,2025-01-01T10:49:32,2025-01-01T10:56:58,2025-01-01T11:08:51,128.0,2025-01-01T10:44:20,2025-01-01T10:46:35,2025-01-01T10:49:32,2025-01-01T10:53:43,2025-01-01T10:56:58,2025-01-01T11:05:47,2025-01-01T11:08:51,False,False,False,True
ORD_000057,2025-01-01T10:50:31,CUST_01676,REST_0034,A,delivered,44.65,Brasília,returning,Street Eats 19,Dessert,Porto Alegre,DEL_000056,DASH_0209,2025-01-01T10:56:04,2025-01-01T11:04:30,2025-01-01T11:17:38,28.2,2025-01-01T10:50:31,2025-01-01T10:52:56,2025-01-01T10:56:04,2025-01-01T11:00:57,2025-01-01T11:04:30,2025-01-01T11:14:35,2025-01-01T11:17:38,False,False,False,False
ORD_000058,2025-01-01T10:55:26,CUST_01759,REST_0100,B,delivered,36.11,Curitiba,returning,Burger Lab 48,Brazilian,Porto Alegre,DEL_000057,DASH_0067,2025-01-01T11:02:27,2025-01-01T11:13:42,2025-01-01T11:30:24,36.4,2025-01-01T10:55:26,2025-01-01T10:58:29,2025-01-01T11:02:27,2025-01-01T11:09:00,2025-01-01T11:13:42,2025-01-01T11:26:02,2025-01-01T11:30:24,False,False,False,False
ORD_000059,2025-01-01T11:43:03,CUST_00418,REST_0049,A,delivered,8.05,São Paulo,returning,Bella Napoli 34,Burger,Brasília,DEL_000058,DASH_0216,2025-01-01T11:49:42,2025-01-01T11:59:32,2025-01-01T12:15:05,33.0,2025-01-01T11:43:03,2025-01-01T11:45:38,2025-01-01T11:49:42,2025-01-01T11:55:52,2025-01-01T11:59:32,2025-01-01T12:11:17,2025-01-01T12:15:05,False,False,False,False
